,Stage,result,diffrance_rank,team_win_diffrance
0,Group Stage,home win,-19,-1
1,Group Stage,home win,-19,-2
2,Group Stage,home win,-38,-1
3,Group Stage,home win,-38,-2
4,Group Stage,home win,-38,-5
5,Group Stage,home win,-38,-4
6,Group Stage,home win,-63,-1
7,Group Stage,home win,-63,-2
8,Group Stage,home win,-63,-5
9,Group Stage,home win,-63,-4
10,Group Stage,home win,11,-1
11,Group Stage,home win,18,-1
12,Group Stage,home win,18,-2
13,Group Stage,home win,18,-3
14,Group Stage,home win,18,-4
15,Group Stage,home win,7,-1
16,Group Stage,home win,7,-2
17,Group Stage,home win,7,-3
18,Group Stage,home win,7,-4
19,Group Stage,home win,-25,-5
20,Group Stage,home win,-29,-5
21,Group Stage,home win,-40,0
22,Group Stage,home win,-40,-3
23,Group Stage,home win,-4,-1
24,Group Stage,home win,-53,-1
25,Group Stage,home win,-53,-2
26,Group Stage,home win,-53,-3
27,Group Stage,home win,-53,-4
28,Group Stage,home win,-3,-1
29,Group Stage,home win,-3,-2
30,Group Stage,home win,-3,-3
31,Group Stage,home win,-3,-4
32,Group Stage,home win,-60,-1
33,Group Stage,home win,-28,-4
34,Group Stage,home win,-28,-3
35,Group Stage,home win,-28,-2
36,Group Stage,home win,-82,-4
37,Group Stage,home win,-82,-3
38,Group Stage,home win,-82,-2
39,Group Stage,home win,10,-2
40,Group Stage,home win,-26,0
41,Group Stage,home win,-26,-1
42,Group Stage,home win,-12,-5
43,Group Stage,home win,-12,-3
44,Group Stage,home win,-12,-2
45,Group Stage,home win,-12,-4
46,Group Stage,home win,-12,-2
47,Group Stage,home win,-12,-1
48,Group Stage,home win,-49,-5
49,Group Stage,home win,-49,-3
50,Group Stage,home win,-49,-2
51,Group Stage,home win,14,-1
52,Group Stage,home win,14,-2
53,Group Stage,home win,14,0
54,Group Stage,home win,14,-1
55,Group Stage,home win,16,-1
56,Group Stage,home win,16,-2
57,Group Stage,home win,-10,-3
58,Group Stage,home win,-13,1
59,Group Stage,home win,-13,0
60,Group Stage,home win,-61,-1
61,Group Stage,home win,-61,-2
62,Group Stage,home win,-42,-3
63,Group Stage,home win,-42,-2
64,Group Stage,home win,-48,-2
65,Group Stage,home win,-48,-3
66,Group Stage,home win,8,-2
67,Group Stage,home win,8,-3
68,Group Stage,home win,-56,-3
69,Group Stage,home win,-41,-4
70,Group Stage,home win,-41,-3
71,Group Stage,home win,-41,-2
72,Group Stage,home win,14,-1
73,Group Stage,home win,-41,-3
74,Group Stage,home win,-41,-4
75,Group Stage,home win,-41,-2
76,Group Stage,home win,-41,-3
77,Group Stage,home win,2,-3
78,Group Stage,home win,2,-4
79,Group Stage,home win,-36,-3
80,Group Stage,home win,-36,-4
